Index,English
13,"Extensive intercellular coupling between these neurons, likely via neurotransmitters, neuropeptides, and gap junctions, forms a neuronal network that is resilient to internal and environmental perturbations. Systematic characterization of these diverse coupling mechanisms between clock neurons is thus crucial to understanding circadian clock entrainment and the mutual coupling of the clock neurons. In addition, unraveling the clock output pathways that generate rhythmic behaviors and hormonal signaling can provide mechanistic insights into circadian regulation of organismal physiology and homeostasis."
14,"These aims are particularly challenging to accomplish in vertebrates due to the large neuronal network size and resultant increase in complexity. However, the molecular clock architecture, as well as the neuronal network motifs, are highly conserved from humans to insects. Hence, Drosophila melanogaster, with its powerful genetic toolkit and complete brain connectome, represents an ideal system for deciphering the clock network and its input and output pathways."
15,"Not surprisingly, the fly circadian clock, generally regarded as being comprised of approximately 150 neurons, is extremely well characterized. These neurons have historically been classified into different groups of Lateral and Dorsal Neurons based on their size, anatomy, location in the brain, and differences in gene expression. Further, these neuronal subgroups are active at different times during the day and are consequently distinct functionally."
16,"Almost all living organisms, from humans to bacteria, possess a circadian clock. This internal timekeeping system enables organisms to anticipate and adapt to the rhythmic environmental changes that occur over a 24-hour cycle. At their molecular core, these clocks are comprised of cell-autonomous transcription-translation negative feedback loops."
17,"In most animals, the master circadian clock in the brain receives light cues via the eyes, which enable synchronization with the external 24-hour light-dark cycles. The master clock sits at the top of the hierarchy and, in turn, modulates the activity of downstream neurons as well as the peripheral clocks located in tissues throughout the body via endocrine and systemic signaling. In vertebrates, the master clock is located in the suprachiasmatic nucleus of the hypothalamus and is comprised of approximately 20,000 neurons."
18,"Extensive intercellular coupling between these neurons, likely via neurotransmitters, neuropeptides, and gap junctions, forms a neuronal network that is resilient to internal and environmental perturbations. Systematic characterization of these diverse coupling mechanisms between clock neurons is thus crucial to understanding circadian clock entrainment and the mutual coupling of the clock neurons. In addition, unraveling the clock output pathways, which generate rhythmic behaviors and hormonal signaling, can provide mechanistic insights into the circadian regulation of organismal physiology and homeostasis."
19,"These aims are particularly challenging to accomplish in vertebrates due to the large neuronal network size and resultant increase in complexity. However, the molecular clock architecture as well as the neuronal network motifs are highly conserved from humans to insects. Hence, Drosophila melanogaster, with its powerful genetic toolkit and a complete brain connectome, represents an ideal system for deciphering the clock network and its input and output pathways."
20,"Not surprisingly, the fly circadian clock, generally regarded to be comprised of approximately 150 neurons, is extremely well characterized. These neurons have historically been classified into different groups of lateral and dorsal neurons based on their size, anatomy, location in the brain, and differences in gene expression. Further, these neuronal subgroups are active at different times during the day and are consequently distinct functionally."
21,"Almost all living organisms, from humans to bacteria, possess a circadian clock. This internal timekeeping system enables organisms to anticipate and adapt to the rhythmic environmental changes that occur over a 24-hour cycle. At their molecular core, these clocks are comprised of cell-autonomous transcription-translation negative feedback loops."
22,"In most animals, the master circadian clock in the brain receives light cues via the eyes, which enable synchronization with the external 24-hour light-dark cycles. The master clock sits at the top of the hierarchy and, in turn, modulates the activity of downstream neurons, as well as the peripheral clocks located in tissues throughout the body via endocrine and systemic signaling. In vertebrates, the master clock is located in the suprachiasmatic nucleus of the hypothalamus and consists of approximately 20,000 neurons."
23,"Extensive intercellular coupling between these neurons, likely via neurotransmitters, neuropeptides, and gap junctions, forms a neuronal network that is resilient to internal and environmental perturbations. Systematic characterization of these diverse coupling mechanisms between clock neurons is crucial to understanding circadian clock entrainment and the mutual coupling of the clock neurons. In addition, unraveling the clock output pathways that generate rhythmic behaviors and hormonal signaling can provide mechanistic insights into circadian regulation of organismal physiology and homeostasis."
24,"These aims are particularly challenging to accomplish in vertebrates due to the large neuronal network size and resultant increase in complexity. However, the molecular clock architecture, as well as the neuronal network motifs, are highly conserved from humans to insects. Hence, Drosophila melanogaster, with its powerful genetic toolkit and a complete brain connectome, represents an ideal system for deciphering the clock network and its input and output pathways."
25,"Not surprisingly, the fly circadian clock, generally regarded to be comprised of approximately 150 neurons, is extremely well characterized. These neurons have historically been classified into different groups of lateral and dorsal neurons based on their size, anatomy, location in the brain, and differences in gene expression. Furthermore, these neuronal subgroups are active at different times during the day and are consequently distinct functionally."
26,"Single-cell transcriptome sequencing analyses of clock neurons recently revealed additional heterogeneity within some of these clusters, which can largely be explained by the neuronal signaling molecules that they express. Comprehensive mapping of the synaptic partners of clock neurons and comparing this connectivity can determine if the molecular heterogeneity based on gene expression also translates into heterogeneous synaptic connectivity. Nonetheless, given the rich array of neuropeptides expressed in clock neurons, both synaptic and paracrine signaling appear crucial in mediating the connectivity between clock neurons as well as their output pathways."
27,"Here, we harnessed the power of connectomics to generate the first comprehensive connectivity map of the circadian clock. Intriguingly, we identified additional dorsal neurons in the network, thus showing that the Drosophila circadian clock is, in fact, comprised of at least 240 neurons instead of 150 neurons. In addition, our analyses revealed that light input from extrinsic photoreceptors to the clock neurons is largely indirect."
28,"Furthermore, we discovered extensive ipsilateral synaptic connectivity between the clock neurons and identified a subset of dorsal neurons as an important hub that links the clock network across the two brain hemispheres via contralateral projections. We also elucidated the output pathways from the clock network that could affect general behavioral activity levels and organismal physiology. In particular, we characterized clock inputs to subsets of neurosecretory cells in the brain, which collectively represent a major neuroendocrine center."
29,"We observed sparse monosynaptic connectivity between clock neurons and neurosecretory cells, suggesting that multi-synaptic connections and peptidergic signaling account for most of the connectivity, as is characteristic of the vertebrate clock output pathways. Hence, as a complementary approach, we also deciphered putative paracrine signaling pathways within the clock network by extensively mapping the expression of clock neuropeptides and their receptors, and filtering them based on the topographical constraints determined by the connectome. This peptidergic signaling greatly enriches the connectivity within the clock network and is the major output pathway to the neuroendocrine center, which regulates systemic physiology."
30,"The master clock in the Drosophila brain is widely regarded to be comprised of approximately 150 neurons. This number is derived from the neuronal expression of different clock genes. Clk856-Gal4, based on the Clk promoter, faithfully recapitulates expression in most of these clock neurons."
31,"Almost all living organisms, from humans to bacteria, possess a circadian clock. This internal timekeeping system enables organisms to anticipate and adapt to the rhythmic environmental changes that occur over a 24-hour cycle. At their molecular core, these clocks are comprised of cell-autonomous transcription-translation negative feedback loops."
32,"In most animals, the master circadian clock in the brain receives light cues via the eyes, enabling synchronization with the external 24-hour light-dark cycles. The master clock sits at the top of the hierarchy and in turn modulates the activity of downstream neurons, as well as the peripheral clocks located in tissues throughout the body via endocrine and systemic signaling. In vertebrates, the master clock is located in the suprachiasmatic nucleus of the hypothalamus and is comprised of approximately 20,000 neurons."
33,"Extensive intercellular coupling between these neurons, likely via neurotransmitters, neuropeptides, and gap junctions, forms a neuronal network that is resilient to internal and environmental perturbations. Systematic characterization of these diverse coupling mechanisms between clock neurons is thus crucial to understanding circadian clock entrainment and the mutual coupling of the clock neurons. In addition, unraveling the clock output pathways that generate rhythmic behaviors and hormonal signaling can provide mechanistic insights into circadian regulation of organismal physiology and homeostasis."
34,"These aims are particularly challenging to accomplish in vertebrates due to the large neuronal network size and resultant increase in complexity. However, the molecular clock architecture as well as the neuronal network motifs are highly conserved from humans to insects. Hence, Drosophila melanogaster, with its powerful genetic toolkit and a complete brain connectome, represents an ideal system for deciphering the clock network and its input and output pathways."
35,"Not surprisingly, the fly circadian clock, generally regarded to be comprised of approximately 150 neurons, is extremely well characterized. These neurons have historically been classified into different groups of lateral and dorsal neurons based on their size, anatomy, location in the brain, and differences in gene expression. Further, these neuronal subgroups are active at different times during the day and are consequently distinct functionally."
36,"Single-cell transcriptome sequencing analyses of clock neurons recently revealed additional heterogeneity within some of these clusters, which can largely be explained by the neuronal signaling molecules that they express. Comprehensive mapping of the synaptic partners of clock neurons and comparing this connectivity can determine if the molecular heterogeneity based on gene expression also translates into heterogeneous synaptic connectivity. Nonetheless, given the rich array of neuropeptides expressed in clock neurons, both synaptic and paracrine signaling appear crucial in mediating the connectivity between clock neurons, as well as their output pathways."
37,"Here, we harnessed the power of connectomics to generate the first comprehensive connectivity map of the circadian clock. Intriguingly, we identified additional dorsal neurons in the network, thus showing that the Drosophila circadian clock is, in fact, comprised of at least 240 neurons instead of 150 neurons. In addition, our analyses revealed that light input from extrinsic photoreceptors to the clock neurons is largely indirect."
38,"Furthermore, we discovered extensive ipsilateral synaptic connectivity between the clock neurons and identified a subset of dorsal neurons as an important hub that links the clock network across the two brain hemispheres via contralateral projections. We also elucidated the output pathways from the clock network that could affect general behavioral activity levels and organismal physiology. In particular, we characterized clock inputs to subsets of neurosecretory cells in the brain, which collectively represent a major neuroendocrine center."
39,"We observed sparse monosynaptic connectivity between clock neurons and neurosecretory cells, suggesting that multi-synaptic connections and peptidergic signaling account for most of the connectivity, as is characteristic of the vertebrate clock output pathways. Hence, as a complementary approach, we also deciphered putative paracrine signaling pathways within the clock network by extensively mapping the expression of clock neuropeptides and their receptors, and filtering them based on the topographical constraints determined by the connectome. This peptidergic signaling greatly enriches the connectivity within the clock network and is the major output pathway to the neuroendocrine center, which regulates systemic physiology."
40,"The master clock in the Drosophila brain is widely regarded to be comprised of approximately 150 neurons. This number is derived from neuronal expression of different clock genes. Clk856-Gal4, based on the Clk promoter, faithfully recapitulates expression in most of these clock neurons."
41,"These neurons can be broadly classified into four classes: each of LN and DN. The LN comprise Lateral Posterior Neurons, dorsoLateral Neurons, Ion Transport Peptide-expressing LN, and Pigment-Dispersing Factor-expressing ventroLateral Neurons. Conversely, the DN include anterior Dorsal Neurons 1, posterior DN1, DN2, and DN3."
42,"These clock neuron classes can be further subdivided into different cell types. Morphological characterization of some DN1p and DN3 subtypes is currently lacking. Moreover, the estimated number of clock neurons in Drosophila is likely an underestimation, as the precise number of DN3 has not been determined thus far."
43,"This is partly because drivers like Clk856-Gal4 only include a small proportion of DN3. In addition, most DN3 have small somata that are densely packed together, making it difficult to count. The majority of these small DN3 project to the central brain, and hence they are aptly called small Central Projecting DN3."
44,"Similarly, a pair of DN3 with large somata project to the central brain, whereas about six neurons per brain hemisphere project to the anterior brain. These latter cells also have larger somata than the s-CPDN3. Despite the large number of DN3, previous studies suggest that they are less important for behavioral rhythmicity compared to some of the LN, which are regarded as the master pacemaker neurons."
45,"As a first step in determining the synaptic connectivity within the clock network, we used a systematic approach to identify most, if not all, of the clock neurons in the FlyWire connectome generated in our companion papers. In total, we successfully identified 242 clock neurons based on a combination of morphology, previously determined connectivity, and location of their cell soma. The number of clock neurons that we identified in the connectome was considerably higher than the expected number of clock neurons in the adult brain."
46,"This was mainly due to the presence of more s-CPDN3 in the connectome than estimated, which prompted us to accurately quantify the total number of DN3 in adult brains. To comprehensively quantify DN3, we used antibodies against clock proteins Period and Vrille in tim-Gal4 > GFP expressing flies. Since PER and VRI exhibit peak expression at different Zeitgeber times, the inclusion of three clock markers can provide a reliable estimate of the total number of DN3."
47,"Indeed, our analyses revealed that there are more than 70 DN3 per hemisphere in both males and females. Thus, the number of DN3 identified in the connectome is in line with our DN3 estimate based on anatomical analysis. The majority of these are s-CPDN3, which we now classified into five subtypes based on morphological similarity."
48,"These five DN3 subtypes are comprised of 26 distinct cell types and could thus be subdivided further in the future. Additionally, we also identified several candidate DN1p which could not be classified into previously characterized DN1p cell types. To verify if these neurons identified in the connectome are indeed DN1p, we characterized them anatomically."
49,"Specifically, we performed multi-color flip-out analysis of DN1p using Clk4.1M-Gal4 to elucidate the morphology of this densely packed neuronal cluster. In total, about 14 DN1p per hemisphere are labeled with the Clk4."
50,MCFO analysis revealed DN1pA and DN1pB subtypes characterized previously. Our analysis additionally revealed the morphology of previously uncharacterized DN1p subtypes.
51,"DN1pC and DN1pE are each comprised of two neurons per hemisphere. DN1pD is comprised of four neurons per hemisphere. Two of these project over the midline while the other two remain ipsilateral, suggesting that DN1pD is comprised of two morphologically distinct subtypes."
52,"Notably, our analysis confirmed that the candidate DN1p identified from the connectome is in fact morphologically similar to DN1pC-E subtypes labeled by Clk4.1M-Gal4. Taken together, our identification and morphological characterization of novel DN3 and DN1p subtypes provide a solid framework to comprehensively examine the connectivity of clock neurons."
53,"The FlyWire connectome combines automatically detected chemical synapses with proofread neurons. These synapses represent an additional anatomical feature that could potentially distinguish neuronal groups. Consequently, we asked whether the classification of clock neurons based on differences in their synaptic connectivity aligns with the traditional anatomical and recent gene expression-based classification."
54,"To address this, we clustered clock neurons based on cosine similarity between their total synaptic inputs and outputs. Our clustering analysis shows that neurons of a given clock cell type usually cluster together, suggesting that neurons from the same group are more similar to each other than to other clock neurons. For example, all three LNd CRY- from one hemisphere are part of the same clade."
55,"Similarly, the two DN2 are part of a clade. Exceptions to this are the clades containing DN1p and DN3. For DN1p, this can be explained by our findings, which show that this group comprises five morphologically distinct subtypes."
56,"In the case of DN3, while some of them form their own cluster, other DN3 cluster together with different clock neuron subtypes. On one hand, this is not unexpected since it is unlikely for such a large group of neurons to have similar connectivity patterns. On the other hand, this is quite interesting since it provides insights into their possible function."
57,"For instance, heterogeneous clusters comprising clock neurons of different classes have similar synaptic inputs and outputs, and may thus play similar roles in the clock network and beyond. Moreover, the connectivity-based clustering does not resolve the five subtypes of the s-CPDN3. This suggests that these five s-CPDN3 subtypes comprise synaptically heterogeneous cell populations."
58,"Nonetheless, synaptic connectivity-based classification of clock neurons largely aligns with those determined based on anatomical and gene expression differences. Having identified all the clock neurons, we next sought to determine their synaptic interconnectivity, which could facilitate intercellular coupling within the network. Generally, we regarded more than 4 common synapses per neuron as significant connections and more than 9 synapses as strong connections."
59,"We first wanted to validate our analysis by comparing it with previously reported connections. In agreement with previous reports, we observed strong synaptic connectivity from DN1a to LNITP, from DN1pA to LNITP and LNd, and from DN1pB to DN2 clusters, highlighting the robustness of our approach. Importantly, our analysis also uncovered novel connections between the different subgroups."
60,"Specifically, we observed strong contralateral and ipsilateral connectivity from DN1pA to LNITP, as well as additional significant connections with s-CPDN3C, s-CPDN3D, and LNd CRY+ across both hemispheres. Similarly, LNITP also provides synaptic inputs to s-CPDN3 clusters in both hemispheres. This raised the question of whether DN1pA represents a heterogeneous population where one subgroup forms ipsilateral connections and the other contralateral."
61,"To address this, we examined the connectivity at cellular resolution, which revealed that individual DN1pA indeed form both ipsilateral and contralateral connections. Our analysis thus identified DN1pA as an important center that links the clock network across the two brain hemispheres. These results are in line with previous reports of contralateral projections of DN1p."
62,"In contrast, there are virtually no synaptic connections between the s-LNv and the LNd neurons, which control morning and evening activities, respectively. This is consistent with previous analyses using the hemibrain connectome. Interestingly, the connectivity of clock neurons across both hemispheres is not symmetrical, owing to the differences in the number of synapses."
63,"To assess the extent of inter-individual differences in the numbers, neuronal projections, and synaptic connectivity of clock neurons, we next performed comparisons with the partial hemibrain connectome. Several groups of clock neurons were previously identified in the hemibrain connectome, including all s-LNv, l-LNv, LNd, LNITP, LPN, DN1a, and some DN2, DN1p, and DN3. Here, we identified additional DN1p and DN3."
64,"In total, 64 clock neurons can be identified in the hemibrain connectome, with the majority of missing neurons belonging to the DN3 subgroups. Comparison of different subgroups revealed stable neuronal numbers across the two connectomes. Similarly, there is a high degree of stereotypy in the connectivity between the clock clusters."
65,"For instance, l-LNv and DN2 form the least synaptic contacts with other clock clusters. At the opposite end of the spectrum, s-CPDN3A are connected to all the clock clusters except for s-LNv, l-LNv, DN1a, and DN1pE. Given its partial nature, the hemibrain connectome lacks information about all contralateral connections, reiterating the significance of characterizing information flow across entire networks."
66,"Taken together, our analyses revealed previously unknown connectivity between the clock neurons, which could contribute to the robustness of the master clock. Moreover, the identification of the complete circadian neuronal network in the FlyWire connectome underscores the power of the fruit fly in advancing our understanding of chronobiology."
67,"Validating clock neuron connectivity using trans-synaptic tracing. While the FlyWire and hemibrain connectomes exhibit a high degree of stereotypy, we further used an independent approach to validate our connectivity analyses."
68,"We performed light microscopy-based trans-synaptic circuit tracing by expressing trans-Tango using specific driver lines for different populations of clock neurons. Upon driving trans-Tango with Clk4.1M-Gal4, which labels most DN1p, we observed post-synaptic signals in DN1p, DN2, DN3, LPN, LNd, 5th-LNv, and s-LNv."
69,"However, l-LNv and DN1a were not post-synaptic to DN1p. Thus, our trans-Tango analysis of DN1p agrees with the connectivity of DN1p based on the connectomes. Similarly, a split-Gal4 line targeting DN3 drives post-synaptic signals in DN1a, DN1p, DN2, DN3, LPN, LNd, and l-LNv, which mirrors the connectivity seen in the connectomes."
70,"While post-synaptic signals were not detected in most clock neurons of control flies, occasionally a false post-synaptic signal was detected in two clock neurons from the entire network. Hence, any potential synaptic output to LNd should be treated with caution. Overall, we observed similar congruency between the two approaches with other Gal4 lines, including those targeting DN2, LPN, and LNITP."
71,"Differences compared to the connectomes were observed when driving trans-Tango with Pdf-Gal4 and with the DN1a-specific split-Gal4 line. In both cases, trans-Tango generated post-synaptic signals in more clock neurons than anticipated based on the connectomes. This discrepancy could be explained by: 1) the presence of additional neurons in the Gal4 line and/or 2) daily remodeling of neural circuits, as shown previously for s-LNv and DN1a."
72,"In summary, our trans-Tango analysis is largely in agreement with the clock network generated using the connectomes. We deciphered light input pathways via in-silico retrograde tracing of clock neurons. Following the successful validation of our connectivity data, we next identified all the major classes of neurons providing inputs to the clock network. To this end, we utilized the annotation scheme of our companion paper, which provides a hierarchical classification of all neurons in the connectome."
73,"We found that neurons intrinsic to the brain provide the majority of the inputs to the clock network. This includes visual centrifugal neurons projecting from the central brain to the optic lobes, visual projection neurons projecting from the optic lobes to the central brain, as well as neurons intrinsic to the optic lobes and central brain. Examining inputs to specific clock clusters, we observed differential inputs across all the subgroups."
74,"As expected, s-LNv and l-LNv receive most of their input from optic lobe and visual centrifugal neurons, as they have a large number of input sites in the optic lobes and the accessory medulla. In contrast, APDN3, l-CPDN3, and LNITP populations receive major inputs from visual projection neurons. The remaining clock clusters receive most of their inputs from central brain neurons."
75,"In some cases, such as DN1pC-E, DN2, and s-CPDN3A-E, a significant portion of these central neurons are clock neurons themselves, confirming prominent intercellular synaptic connectivity between some clock clusters. Interestingly, only four sensory neurons provide direct inputs to the clock network. These are anterior cells that provide temperature inputs to LPN, DN1pC, and DN1pE."
76,"Having broadly classified the inputs from different neuronal superclasses to the clock network, we probed further and identified individual cells providing the strongest synaptic inputs to clock neurons. For this purpose, we used a stringent threshold of 80 synapses to obtain a narrow list of candidate inputs. Our analysis discovered 13 neurons, including seven aMe neurons, that are strongly connected to specific downstream clock neurons."
77,"For example, individual aMe3 and aMe6a neurons can form more than 79 synapses with APDN3, while aMe8 is similarly connected to LNd CRY+ & ITP clock neurons. The unifying feature of these aMe neurons is their dense arborization in the AME and posterior lateral protocerebrum, where they anatomically interact with clock neuron dendrites. Interestingly, the aMe neurons themselves receive strong inputs from the extraretinal photoreceptors."
78,"Specifically, aMe3 and aMe6a neurons receive strong inputs directly from the Hofbauer-Buchner eyelets. Conversely, aMe8 receives indirect inputs from ocellar retinula cells via the ocellar ganglion neurons type 2c. This suggests that the clock receives strong light inputs from extrinsic photoreceptor cells, albeit indirectly."
79,"This is not surprising since light is the most important zeitgeber for circadian clocks. Flies synchronize their circadian clocks with the light-dark cycles using these extrinsic photoreceptor cells as well as via the blue-light photoreceptor cryptochrome, which is expressed in about half of the clock neurons. While CRY interacts with the core clock protein timeless and can quickly reset the clock, the different photoreceptor cells are important for sensing dawn, dusk, high light intensities, and day length, and for adapting morning and evening activities to the appropriate time of day."
80,"Regardless, we found little direct input from the photoreceptor cells and other sensory cells to the clock neurons. This is consistent with previous findings, which revealed that most of the light input to the clock appears to be indirect. In light of this and our in-silico circuit tracing analysis described above, we comprehensively characterized the indirect connectivity between photoreceptor cells and clock neurons."
81,"Therefore, we traced all the disynaptic connections between them. Using the normal threshold of >4 synapses, we again recovered the strong connections from the H-B eyelets via the aMe3/aMe6a to the APDN3, and additional weaker connections to the s-CPDN3A, LNITP, l-LNv, and LNd CRY+. Furthermore, we revealed connections from R7/R8 compound eye photoreceptors to several clock neurons via aMe12 and other interneurons."
82,"While we did not observe any disynaptic connections from the ocellar retinula cells to clock neurons using the normal threshold, reducing the threshold to more than 2 synapses revealed connections from the ocelli to APDN3 and l-CPDN3 via OCG02c. The synaptic connections from the ocelli to OCG and beyond are extensively characterized in our companion paper and demonstrate interesting details that may also be valid for the other photoreceptor inputs to clock neurons. The majority of ocellar photoreceptors are synaptically connected to ocellar ganglion neurons with thick axons or directly to descending neurons."
83,"These connections likely enable fast behavioral responses. In contrast, axons of OCG02c that connect to the clock neurons are rather thin and not suited for fast neurotransmission. Instead, these neurons appear suited for collecting light information over time—a property needed for entraining the circadian clock."
84,"Further, collecting light information over larger time intervals may not require a high synapse density. Thus, 3 to 4 synapses between retinula cells and the relevant downstream OCG observed here could be sufficient for this purpose. The same is also true for the photoreceptor cells of the compound eyes."
85,"Reducing the threshold of significant connections from 5 to 3 synapses revealed indirect clock input from additional photoreceptor cells, including those that project from the dorsal rim area of the eye. These photoreceptor cells are involved in polarized vision and might contribute to time-compensated sun compass orientation. Whether the connectivity observed with a lower threshold of more than 2 synapses is functional in vivo remains to be seen; however, this is very likely since there are usually many photoreceptor cells that synapse onto only a few aMe neurons."
86,"For example, theoretically, the approximately 300 pale R8 cells project to only 3-4 aMe12 neurons, resulting in approximately 100 connections on average per aMe neuron. Even if each of these connections were mediated via only 3 synapses, each aMe neuron could potentially receive inputs from R8 cells via 300 synapses, which is quite substantial. In-silico anterograde tracing of clock neurons delineates the output pathways that translate daily 24-hour oscillations of the molecular clock into physiological and behavioral rhythms, which remains a major focus in chronobiology."
87,"Using the same strategy as above to identify the inputs, we systematically classified all the neurons downstream of the clock network. Most synaptic output from the clock network is directed to intrinsic brain neurons, particularly the central brain neurons. Except for l-LNv, all clock clusters have a majority of their output onto central brain neurons."
88,"l-LNv mostly provide inputs to medullary intrinsic neurons in the optic lobe, consistent with their role in adapting the sensitivity of the visual system to the time of day. Further, the majority of the output from DN1pA is onto visual projecting and central brain neurons that are part of the clock network. After broadly classifying clock outputs, we next focused on specific cell types that receive the strongest synaptic inputs from clock neurons using an approach similar to the one used earlier for clock inputs."
89,"Our analysis identified the enigmatic clamp neurons, which receive strong synaptic inputs from APDN3. While the functions of most of these clamp neurons are still unknown, some of them output onto descending neurons, while others promote sleep. Moreover, DN1pB provides strong inputs to tubercle-innervating neurons, which are part of the anterior visual pathway."
90,"Lastly, several clock neurons are strongly connected to diverse neurons from different neuropil regions. Next, we examined clock inputs to descending neurons that could influence locomotor and other behaviors regulated by neurons in the ventral nerve cord. Interestingly, clock neurons provide direct inputs to 18 descending neurons."
91,"These descending neurons include those which have not yet been classified, as well as allatostatin-C and SIFamide peptidergic neurons, the latter of which modulate feeding, mating, and sleep. Direct synaptic inputs to downstream descending neurons predominantly derive from s-CPDN3A-D and LPN. When considering disynaptic connections, the connectivity between the clock network and descending neurons increased drastically, with approximately 24% of all descending neurons receiving indirect inputs from most of the clock neurons."
92,"In summary, our connectivity analysis indicates that the clock can have a major influence on diverse behaviors, including locomotion, via outputs to descending neurons. In addition, the circadian clock is also known to modulate behaviors such as activity/sleep, spatial orientation, and learning and memory. These behaviors are regulated by higher brain centers such as the central complex and mushroom bodies."
93,"Consistent with previous results, we found few direct connections from the clock to neurons associated with the central complex and mushroom bodies. Consequently, we predicted that the clock output to these higher coordination centers is either indirect or paracrine via neuropeptides. In line with this prediction, we found prominent disynaptic connectivity between clock neurons and central complex neurons, ellipsoid body neurons, as well as between clock neurons and Kenyon cells, dopaminergic neurons, and mushroom body output neurons."
94,"In support of paracrine signaling, receptors for several clock neuropeptides are also enriched in higher brain centers. Taken together, circadian modulation of neurons regulating diverse behaviors is largely indirect or paracrine. Similarly, we observed very few direct connections between clock neurons and endocrine cells, which influence organismal physiology and systemic homeostasis."
95,"We address this connectivity in more detail below. Identification and characterization of the neuroendocrine center in the FlyWire connectome. While recent work has unraveled some clock output pathways to endocrine cells, our collective understanding of the circadian regulation of endocrine rhythms is poor. To address this knowledge gap, we first identified and classified all endocrine or NSC in the brain, which are a major source of circulating hormones."
96,"These endocrine cells can be broadly classified into lateral, medial, and subesophageal zone NSC based on their location in the brain. Their axons exit the brain via a pair of nerves and, depending on the cell type, innervate the corpora cardiaca, corpora allata, hypocerebral ganglion, crop, aorta, or the anterior midgut. Their axon terminals form neurohemal sites through which hormones are released into the circulation or locally on peripheral targets such as the crop."
